transactionid,transactiontype,transactionpay,transactionvalue,transactiondate,stationid,approvalnumber,bankcardid,cardid,sellerid
165,Recarga,Efectivo,44000,2017/08/19,3,,,37,14
166,Uso,,2000,2017/06/17,2,,,13,
167,Uso,,2000,2017/07/23,4,,,15,
168,Uso,,2000,2017/08/23,3,,,29,
169,Venta,Tarjeta,5000,2017/07/08,2,147870,2,35,19
170,Recarga,Tarjeta,17000,2017/08/31,5,398864,4,18,5
171,Uso,,2000,2017/06/30,3,,,6,
172,Uso,,2000,2017/07/07,2,,,35,
173,Uso,,2000,2017/08/10,3,,,13,
174,Uso,,2000,2017/07/06,1,,,31,
175,Venta,Tarjeta,5000,2017/06/21,4,170893,4,28,2
176,Venta,Tarjeta,5000,2017/08/15,5,176292,3,9,6
177,Recarga,Tarjeta,13000,2017/07/12,1,126008,4,10,9
178,Recarga,Efectivo,18000,2017/06/06,2,,,9,13
179,Uso,,2000,2017/08/07,2,,,15,
180,Venta,Efectivo,5000,2017/07/23,4,,,34,6
